rpm,M24-P5-360V  Cont,,rpm,M24-P5-360V Peak,rpm,M24-P5-600V Peak,,rpm,M24-P5-360V Cont,M24-P5-600V Cont,M24-P5-360V Peak,M24-P5-600V Peak,,rpm,M24-P5-600V Cont
6714.710069,64.1426548,,5756.244304,157.9454281,,,,,,,,,,,
6866.299477,62.60168921,,5854.222806,155.1542938,,,,,,,,,,,
6971.826232,61.73422358,,5952.201307,152.337143,,,,,,,,,,,
7062.484228,60.85033913,,6050.179809,149.8321899,,,,,,,,,,,
7205.16047,59.49165656,,6148.15831,147.4833355,,,,,,,,,,,
7303.255032,58.66790972,,6246.136811,145.0824482,,,,,,,,,,,
7401.341943,57.66241419,,6344.115313,142.8116432,,,,,,,,,,,
7552.941188,56.35512548,,6442.093814,140.4367724,,,,,,,,,,,
7656.397967,55.76213851,,6540.072315,138.530198,,,,,,,,,,,
7744.697226,55.35700142,,6635.505921,135.9845533,,,,,,,,,,,
7891.857922,54.56926185,,6736.029318,133.8585057,,,,,,,,,,,
7984.609502,53.97172327,,6834.007819,132.2901454,,,,,,,,,,,
8088.062347,53.28526554,,6931.986321,130.2014557,,,,,,,,,,,
8239.669242,52.15972553,,7029.964822,128.3469142,,,,,,,,,,,
8337.763257,51.32299663,,7127.943324,126.6224551,,,,,,,,,,,
8435.869295,50.77187282,,7225.921825,125.0020618,,,,,,,,,,,
8587.476191,49.6463328,,7323.900326,123.355652,,,,,,,,,,,
8690.936249,49.13123812,,7421.878828,121.6832258,,,,,,,,,,,
8783.687173,48.51812108,,7519.857329,120.036816,,,,,,,,,,,
8935.306092,47.67818614,,7617.83583,118.5465051,,,,,,,,,,,
8997.751448,47.66579106,,7715.814332,117.1342435,,,,,,,,,,,
,,,7813.792833,115.6959655,,,,,,,,,,,
,,,7911.771335,114.2576875,,,,,,,,,,,
,,,8009.749836,112.7673765,,,,,,,,,,,
,,,8107.728337,111.5632467,,,,,,,,,,,
,,,8205.706839,110.307084,,,,,,,,,,,
,,,8303.68534,108.9728718,,,,,,,,,,,
,,,8401.663841,107.6906926,,,,,,,,,,,
,,,8499.642343,106.4865628,,,,,,,,,,,
,,,8597.620844,105.1523506,,,,,,,,,,,
,,,8695.599345,103.8441549,,,,,,,,,,,
,,,8793.577847,102.4839263,,,,,,,,,,,
,,,8891.556348,101.25378,,,,,,,,,,,
,,,8976.174145,100.1482173,,,,,,,,,,,
