rpm,M21-P4-360V Cont,rpm,M21-P4-360V Peak,,rpm,M21-P4-360V Cont,M21-P4-600V Cont,M21-P4-360V Peak,M21-P4-600V Peak,,,rpm,M21-P4-600V Cont,rpm,M21-P4-600V Peak
9788.686851,32.61927544,8659.090484,100.4814455,,,,,,,,,,,,
9982.199604,31.91280268,8788.206124,98.95089142,,,,,,,,,,,,
10111.21054,31.54965102,8917.324742,97.50214102,,,,,,,,,,,,
10240.22258,31.23551309,9046.441574,96.00430839,,,,,,,,,,,,
10439.6009,30.57625127,9175.562573,94.62100095,,,,,,,,,,,,
10575.65072,30.27824846,9304.682977,93.22133276,,,,,,,,,,,,
10697.62204,29.81727215,9433.805762,91.88710754,,,,,,,,,,,,
10897.00184,29.22336196,9562.929143,90.56924306,,,,,,,,,,,,
11033.05106,28.8992185,9692.05431,89.30046081,,,,,,,,,,,,
11149.15968,28.51846691,9821.183645,88.14620373,,,,,,,,,,,,
11342.67966,28.13221713,9950.308216,86.86106073,,,,,,,,,,,,
11471.69324,27.88615381,10079.43993,85.77224662,,,,,,,,,,,,
11600.70411,27.52027917,10208.57641,84.81431844,,,,,,,,,,,,
11788.35933,27.12276184,10337.7123,83.84002951,,,,,,,,,,,,
11910.33515,26.86110799,10466.84758,82.84937984,,,,,,,,,,,,
,,10595.98287,81.85873018,,,,,,,,,,,,
,,10725.11816,80.86808051,,,,,,,,,,,,
,,10854.25405,79.89379158,,,,,,,,,,,,
,,10983.39053,78.9358634,,,,,,,,,,,,
,,11112.527,77.97793521,,,,,,,,,,,,
,,11241.66587,77.08544999,,,,,,,,,,,,
,,11370.80413,76.17660402,,,,,,,,,,,,
,,11499.94359,75.30047954,,,,,,,,,,,,
,,11629.08126,74.37527284,,,,,,,,,,,,
,,11758.21893,73.45006613,,,,,,,,,,,,
,,11887.35779,72.55758091,,,,,,,,,,,,
,,11987.14734,71.87983196,,,,,,,,,,,,
