rpm,M21-P5-360V Cont,rpm,M21-P5-360V Peak,,rpm,M21-P5-360V Cont,M21-P5-600V cont,M21-P5-360V Peak,M21-P5-600V Peak,,rpm,M21-P5-600V Cont,rpm,M21-P5-600V Peak
,,10445.47425,66.87866429,,,,,,,,,,,
,,10577.69614,66.07009561,,,,,,,,,,,
,,10709.91537,65.21211381,,,,,,,,,,,
,,10842.13372,64.33766097,,,,,,,,,,,
,,10974.35738,63.56203435,,,,,,,,,,,
,,11106.58192,62.80287878,,,,,,,,,,,
,,11238.80912,62.09313631,,,,,,,,,,,
,,11371.0372,61.39986489,,,,,,,,,,,
,,11503.26794,60.75600657,,,,,,,,,,,
,,11635.49603,60.06273514,,,,,,,,,,,
,,11767.72323,59.35299268,,,,,,,,,,,
,,11899.94866,58.61030814,,,,,,,,,,,
,,11984.10448,58.3677861,,,,,,,,,,,
